PassengerId,Passenger_No,Passenger_group,HomePlanet,CryoSleep,Cabin,Cabin_Deck,Cabin_Side,Cabin_DS,Destination,Age,Age_Catg,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Total_Expenses,Name,Transported
0001_01,01,0001,Europa,False,B/0/P,B,P,BP,TRAPPIST-1e,39.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False
0002_01,01,0002,Earth,False,F/0/S,F,S,FS,TRAPPIST-1e,24.0,21-40,False,109.0,9.0,25.0,549.0,44.0,702.0,Juanna Vines,True
0003_01,01,0003,Europa,False,A/0/S,A,S,AS,TRAPPIST-1e,58.0,41-60,True,43.0,3576.0,0.0,6715.0,49.0,6807.0,Altark Susent,False
0003_02,02,0003,Europa,False,A/0/S,A,S,AS,TRAPPIST-1e,33.0,21-40,False,0.0,1283.0,371.0,3329.0,193.0,3522.0,Solam Susent,False
0004_01,01,0004,Earth,False,F/1/S,F,S,FS,TRAPPIST-1e,16.0,0-20,False,303.0,70.0,151.0,565.0,2.0,870.0,Willy Santantines,True
0005_01,01,0005,Earth,False,F/0/P,F,P,FP,PSO J318.5-22,44.0,41-60,False,0.0,483.0,0.0,291.0,0.0,291.0,Sandie Hinetthews,True
0006_01,01,0006,Earth,False,F/2/S,F,S,FS,TRAPPIST-1e,26.0,21-40,False,42.0,1539.0,3.0,0.0,0.0,42.0,Billex Jacostaffey,True
0006_02,02,0006,Earth,True,G/0/S,G,S,GS,TRAPPIST-1e,28.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True
0007_01,01,0007,Earth,False,F/3/S,F,S,FS,TRAPPIST-1e,35.0,21-40,False,0.0,785.0,17.0,216.0,0.0,216.0,Andona Beston,True
0008_01,01,0008,Europa,True,B/1/P,B,P,BP,55 Cancri e,14.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True
0008_02,02,0008,Europa,True,B/1/P,B,P,BP,TRAPPIST-1e,34.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True
0008_03,03,0008,Europa,False,B/1/P,B,P,BP,55 Cancri e,45.0,41-60,False,39.0,7295.0,589.0,110.0,124.0,273.0,Wezena Flatic,True
0009_01,01,0009,Mars,False,F/1/P,F,P,FP,TRAPPIST-1e,32.0,21-40,False,73.0,0.0,1123.0,0.0,113.0,186.0,Berers Barne,True
0010_01,01,0010,Earth,False,G/1/S,G,S,GS,TRAPPIST-1e,48.0,41-60,False,719.0,1.0,65.0,0.0,24.0,743.0,Reney Baketton,False
0011_01,01,0011,Earth,False,F/2/P,F,P,FP,TRAPPIST-1e,28.0,21-40,False,8.0,974.0,12.0,2.0,7.0,17.0,Elle Bertsontry,True
0012_01,01,0012,Earth,False,G/160/P,G,P,GP,TRAPPIST-1e,31.0,21-40,False,32.0,0.0,876.0,0.0,0.0,32.0,Justie Pooles,False
